,Title,Link,Genre,Developer,Publisher,Released in: Japan,Plots
282,Subsurface Circular,/wiki/Subsurface_Circular,Adventure,Bithell Games,Bithell Games,"March 1, 2018"," Subsurface Circular is a loose take on text-based adventure games, with the game presented in a three-dimensional, third-person perspective. The player controls a robot detective in a futuristic setting, tasked with solving cases aboard a subway system below a human city that ferries around other robots that serve as the workforce. In the game, the robot detective must solve a case of a number of robots that have gone missing, by talking to other robots while they are on the subway cars, following various conversation trees, and at times, solving puzzles to help out a robot and get more information. The player acquires ""focal points"" on achieving certain goals, which then can be used to question other robots to get more information to solve the mystery.   While the player can select from several names for the playable character, this summary assumes the use of ""Theta One One"" for purposes of clarity.  Theta One One, the playable character, is an android-like Tek, assigned as a detective for other Teks on a subway system and serving his human masters, known as ""management"". During one night, one Tek, a fabricator, tells Theta One One of another Tek that had gone missing, and Theta One One decides to take the case. As the subway train circles the city, Theta One One talks to other Tek passengers, learning of a mysterious Red Tek that may be connected to the mystery, that a number of other Teks may have gone missing, and that there is growing resentment to Teks by the human population in the city above. Eventually, Theta One One is able to upload the case details to management, upon which they inform the Tek that since it took the case without their instructions, the Tek will be apprehended. At the next station, two detective Teks arrive, preparing to deal with Theta One One, but the Tek is able to manipulate the pair to learn that over hundreds of Teks have gone missing over the last several months, and to management, they saw this as a rounding error in Tek production. Management did not want this known, and thus it seems to others that Teks have simply gone missing. The detective Teks use an override access code to reset Theta One One to an unassigned position and leave the Tek to get off later on the subway ride to take itself to fabrication and be reassigned.  Theta One One is still experiencing the sense of loss when at the next stop it meets an infantry Tek who seeks to confess its sins. Theta One One manages to coax this out of the Tek, and learns that it was part of the plan to overproduce infantry Teks that have been amassing outside of the city above, preparing to attack it; this is the source of management's rounding error. At the next stop, the same fabricator that Theta One One first talked to that night comes aboard, and reveals it was the Red Tek others spoke of, and is leading this plan. It planned to use the infantry Teks to kill management and have Teks take over which could run the city more efficiently; this would help the humans working low-level jobs to be able to pursue more constructive options while Teks replace their roles. Otherwise, without this change, the system will continue on the status quo, with management using Teks to replace humans, and hurting many humans in the process. Red Tek needed Theta One One to investigate as it did as to scout the current situation in the city from the Tek's perspective, providing its high-level intelligence to analyze the situation. At this point, Red Tek offers Theta One One a weapon and tells it that a choice to kill Red Tek or itself must be made; by killing Red Tek, Theta One One will be able to report to management about the infantry Teks and give them time to stop it, as to let the status quo remain; by killing itself, Theta One One would allow the Tek overthrow to proceed. The game ends after the player makes either choice.  "
284,Summer Pockets,/wiki/Summer_Pockets,Visual novel,Key,Prototype,"June 20, 2019"," Summer Pockets is a romance visual novel in which the player assumes the role of Hairi Takahara. Much of its gameplay is spent on reading the story's narrative and dialogue. The text in the game is accompanied by character sprites, which represent who Hairi is talking to, over background art. Throughout the game, the player encounters CG artwork at certain points in the story, which take the place of the background art and character sprites. When the game is completed at least once, a gallery of the viewed CGs and played background music becomes available on the game's title screen. Summer Pockets follows a branching plot line with multiple endings, and depending on the decisions that the player makes during the game, the plot will progress in a specific direction.  There are six main plot lines to experience, which is increased to ten in Summer Pockets Reflection Blue. Four of the six plot lines are initially available in Summer Pockets, and seven of the ten plot lines are initially available in Reflection Blue. Throughout gameplay, the player is given multiple options to choose from, and text progression pauses at these points until a choice is made. Some decisions can lead the game to end prematurely, which offer an alternative ending to the plot. To view all plot lines in their entirety, the player will have to replay the game multiple times and choose different choices to further the plot to an alternate direction. All heroine routes are available when first playing both Summer Pockets and Reflection Blue. In both versions, each heroine will disappear from the game's title screen once her route has been completed. When all of the heroine routes in either version have been played at least once, an additional scenario called Alka is made available. Upon the completion of the Alka route, another scenario called Pocket is made available, which serves as the true conclusion to the story. In Reflection Blue, Umi's route becomes available after the completion of Pocket. In both versions, once Pocket is completed, all heroines reappear on the game's title screen.  There are two minigames featured in Summer Pockets and Reflection Blue. The first is a table tennis minigame that takes the form of a quick time event where the object is to click one of the circular indicators on the player's side at the moment when the ball hits it. Successive hits on any of the indicators will result in the filling of an intensity gauge and will increase the number of indicators from three to five which frequently change position. Successive hits on any one indicator will change its color from blue, to yellow, red, purple, and finally a multicolored ""Super Shot!!"" indicator. The accuracy of the clicks is scored from good, to great, and finally excellent. Play continues until either the intensity gauge is depleted, resulting in the player's loss, or until the player has accumulated enough points to knock out the opponent. In Reflection Blue, the table tennis minigame now also features doubles matches with the same basic mechanics.  The second minigame is an intricate catching and battling game called Islamon. There are 100 different Islamon to catch in 10 separate locations around the island with 20 kinds of bait. Any bait can be used in any location, but only one to four kinds of Islamon are available per bait, per location. The encounter rate for each Islamon also depends on the bait used in a certain location. For example, using Sugared Water in the Mountains results in a 25% encounter rate for a Cabbage Butterfly, but using the same bait at the Beach results in a 30% encounter rate for the same Islamon. The encounter rates for Islamon range from 5–100% (30 of the 200 permutations have a single Islamon that can be encountered). The player starts with three kinds of bait and three locations to set them. At first, the player can set two traps with bait per day, but this can increase to five per day depending on the player's rank.  A player can battle with their Islamon against an opponent twice per day, with each player allowed to use up to three Islamon per battle. Each Islamon has both a star rating from 1–5 and one of three types—Water, Wind or Earth—where Water beats Wind, Wind beats Earth, and Earth beats Water. Players customize their stock of available Islamon and choose which ones to battle with and in what order, but the rest of the battle occurs automatically. The goal of the battles is to increase in rank among 35 other individuals, and defeating an opponent will result in switching ranks with them. This continues until the player achieves rank 8, and from then on, the player can only gain one rank with each victory. Once the player defeats the players ranked 7 up to 2, the player can then battle the rank 1 opponent as the final boss. Unexpected events can occur during battle based on the relationships certain Islamon have with a given opponent.  "
288,Super Animal Royale,/wiki/Super_Animal_Royale,Battle royale,Pixile,Modus Games,"August 26, 2021"," Super Animal Royale is a 2D, top-down, third-person battle royale shooter where up to 64 players compete to be the last person standing using a variety of weapons. Players create a character from one of several ""Super Animals"", including different breeds and colors of various species, which are unlocked by collecting animal DNA awarded after each match. Experience points are granted based on the player's performance at the end of each game, which allow them to level up and gain access to new potential species. Cosmetic items can also be obtained that can be used to customize an animal's appearance such as shirts, hats, mustaches, and glasses.  After joining a lobby, players mingle in a non-combat area until the match begins, with non-player bots joining the queue if less than 64 human players are present a few seconds before the start of the game. Each combatant parachutes from a large eagle onto a battlefield containing weapons, protective armor, and Health Juice which can be stocked to restore health when needed. Initially wielding a katana, players can find automatic and semi-automatic guns and ammunition along with grenades used to defeat other players. Hamster balls can also be entered for protection as well as running over opponents. Super skunk gas will creep in from the outer edges of the map as the match progresses, forcing players into progressively smaller areas until the end of the game. Each game can be joined solo, as a duo, or as a squad.  "
289,Super Bomberman R,/wiki/Super_Bomberman_R,Action,Konami,Konami,"March 3, 2017"," Players move through a two-dimensional grid environment and must trap and drop bombs to defeat their opponents. The game features story mode spanning 50 stages and supports cooperative gameplay for two players. The game also features an eight-player competitive multiplayer mode. The online mode contains a league system (Baby A/B, Novice A/B, Amateur A/B, Pro A/B, Champ A/B and God A/B). Starting in Baby league B the player has to win matches to gather and earn points for advancement.  Battle mode includes 19 battlegrounds in total. Besides the classic arena, it also offers a multi-level arena with springboards, ice-patterns, moveable blocks, etc., each with a unique style. In addition to the eight Bomberman Bros. and the Five Dastardly Bombers, Super Bomberman R also features a selection of new characters based on Konami Originals, such as Dracula Bomber, Vic Viper Bomber, Goemon Bomber and more. In total, there are 27 characters, each with special abilities.  Grand Prix was introduced with an update in November 2017. It contains 3 vs 3 battles in offline or online matches within 3 different arenas. Alongside new characters (with unique abilities) the player's goal is to collect as many gems as possible within the given time. Alternate mode is team fight which counts the total wins (blow-ups).   In a robot scrapyard, Emperor Buggler resurrects five robots to be his new henchmen, the Five Dastardly Bombers. Meanwhile, on Planet Bomber, White, the eldest and most disciplined of the eight heroic Bomberman Brothers of Planet Bomber, tries getting his younger siblings to train his siblings to no avail. Black is lazy and egocentric, Pink is more concerned about fashion and gossip, Blue sleeps all day, Red is hot-tempered, Yellow is overly naïve and innocent, Aqua hates violence, and Green is a manipulative sneak who deceives everyone. Just then, their television begins broadcasting a signal from Buggler, who proclaims his goal to conquer the universe and his army has already conquered five planets of the Starry Sky Nebula, swearing that all other planets will soon follow. He offers a challenge to anyone who would defy him to fight his generals. White immediately takes up the challenge and forces his siblings to come with him as he heads to the Starry Sky Nebula to face the Buggler army.  White and his siblings advance on the five worlds Buggler's henchmen have conquered, solving many issues linked to their conquest and defeating Buggler's army and his henchmen. However, when Buggler dares them to face him in outer space, the Bombermen discover that Buggler has created a black hole to destroy the universe while they were busy freeing the planets under his rule. Buggler summons his defeated henchmen to build a massive robot possessing all of their powers to overpower the Bombermen siblings, but they manage to defeat it. In response, Buggler merges with the robot, enlarging himself in the process. Just then, the Five Dastardly Bombers, now free from Buggler's control, give the siblings energy from Buggler's black hole and assist them in defeating Buggler and destroying the black hole. Despite receiving praise for saving the universe, however, White's siblings still refuse to train with White, to his anger.  "
290,Super Bomberman R Online,/wiki/Super_Bomberman_R_Online,Action,Konami,Konami,"May 27, 2021"," Players move through a two-dimensional grid environment and must trap and drop bombs to defeat their opponents. The game features story mode spanning 50 stages and supports cooperative gameplay for two players. The game also features an eight-player competitive multiplayer mode. The online mode contains a league system (Baby A/B, Novice A/B, Amateur A/B, Pro A/B, Champ A/B and God A/B). Starting in Baby league B the player has to win matches to gather and earn points for advancement.  Battle mode includes 19 battlegrounds in total. Besides the classic arena, it also offers a multi-level arena with springboards, ice-patterns, moveable blocks, etc., each with a unique style. In addition to the eight Bomberman Bros. and the Five Dastardly Bombers, Super Bomberman R also features a selection of new characters based on Konami Originals, such as Dracula Bomber, Vic Viper Bomber, Goemon Bomber and more. In total, there are 27 characters, each with special abilities.  Grand Prix was introduced with an update in November 2017. It contains 3 vs 3 battles in offline or online matches within 3 different arenas. Alongside new characters (with unique abilities) the player's goal is to collect as many gems as possible within the given time. Alternate mode is team fight which counts the total wins (blow-ups).   In a robot scrapyard, Emperor Buggler resurrects five robots to be his new henchmen, the Five Dastardly Bombers. Meanwhile, on Planet Bomber, White, the eldest and most disciplined of the eight heroic Bomberman Brothers of Planet Bomber, tries getting his younger siblings to train his siblings to no avail. Black is lazy and egocentric, Pink is more concerned about fashion and gossip, Blue sleeps all day, Red is hot-tempered, Yellow is overly naïve and innocent, Aqua hates violence, and Green is a manipulative sneak who deceives everyone. Just then, their television begins broadcasting a signal from Buggler, who proclaims his goal to conquer the universe and his army has already conquered five planets of the Starry Sky Nebula, swearing that all other planets will soon follow. He offers a challenge to anyone who would defy him to fight his generals. White immediately takes up the challenge and forces his siblings to come with him as he heads to the Starry Sky Nebula to face the Buggler army.  White and his siblings advance on the five worlds Buggler's henchmen have conquered, solving many issues linked to their conquest and defeating Buggler's army and his henchmen. However, when Buggler dares them to face him in outer space, the Bombermen discover that Buggler has created a black hole to destroy the universe while they were busy freeing the planets under his rule. Buggler summons his defeated henchmen to build a massive robot possessing all of their powers to overpower the Bombermen siblings, but they manage to defeat it. In response, Buggler merges with the robot, enlarging himself in the process. Just then, the Five Dastardly Bombers, now free from Buggler's control, give the siblings energy from Buggler's black hole and assist them in defeating Buggler and destroying the black hole. Despite receiving praise for saving the universe, however, White's siblings still refuse to train with White, to his anger.  "
291,Super Chariot,/wiki/Super_Chariot,Platformer,Frima Studio,Microids,"May 10, 2018"," Chariot chronicles a princess' quest to fulfill her recently deceased father's final wishes and bury him in peace. As might be expected of royalty, his last request is that he be laid to rest with as much wealth as possible.   The entire game can be played solo or with a partner. The king's body is in a coffin and attached to it are four wheels. The player's character can push the chariot up and down small hills or attach a rope to pull it along. The rope can be extended or shortened to adequately maneuver the chariot throughout the environment. Everything behaves as it should, with real physics playing a big part in how things move.  "
292,Super Crate Box,/wiki/Super_Crate_Box,Arcade,Vlambeer,Vlambeer,"October 1, 2019"," Super Crate Box's core gameplay revolves around a 2D map. Enemies continually spawn from the top of the map, and come in three varieties: small, large and flying. A crate is always available in a random location on the map, and picking up a crate gives one of 14 weapons, selected at random. At all times, there is a fire pit at the bottom of the map. If an enemy reaches the bottom of the map and falls into the pit, it will respawn at the top of the map with the same health but moving considerably faster. Contact with an enemy results in immediate death.  The goal of the game is to survive as long as possible by using the different weapons obtained from crates to kill enemies. The number of crates that the player picks up before dying constitutes the score. By attaining certain numbers of crates in the game the player can unlock new weapons, game modes and cosmetic character skins.  There is a leaderboard available on the official website that tracks high scores for the various modes. The game supports joypad controls.  "
294,Super Hydorah,/wiki/Super_Hydorah,Shoot 'em up,"Locomalito, Gryzor87",Abylight Studios,"November 15, 2018","and synopsis  The old-school gameplay has been compared to Gradius and other classic side-scrolling shooters. The player controls the ship on a side-scrolling plane and can choose between several weapon classes that are divided into main, secondary and special weapon. Each level has a mid-boss and final boss. The game also has 3 game modes, including single-player, co-op multiplayer, and a robot control spin-off.  In Super Hydorah, the player will face hordes of Meroptians, the bio-mechanical creatures set in a ruthless war of conquest over the Omnios star. As the lone space pilot Delta Lance, the player will fight to defeat the evil of Hydorah that threatens the universe.  Super Hydorah features a non-linear level layout and requires the player to master the game to progress and choose their own path through the planets, hence offering alternative routes and multiple endings for better replayability.  There are 21 stages in Super Hydorah (up from 16 in Hydorah), divided into 35 sublevels and with 35 bosses and more than 100 enemies. The stages are connected with a map and can diverge at points with a second ""true"" ending available if the player completes all levels. While the original game limited the number of saves per playthrough to 5, the remaster allows infinite saves and continues.  "
295,Super Kirby Clash,/wiki/Super_Kirby_Clash,Action,HAL Laboratory,Nintendo,"September 4, 2019"," Super Kirby Clash is an action role-playing game where players control Kirby and his team, who must fight an array of different bosses. There are four Kirbys in the game. The player is the pink Kirby, and the yellow, blue, and green Kirbys can be controlled by CPUs or other players. The player can choose a role, as well as a weapon and suit of armor, and interact with the notice board to begin a fight. The role options allows the player to utilize a sword, hammer, offensive spells, or healing. The game features microtransactions to purchase the necessary Gem Apples to progress, but they can be gotten in other ways, and the game can be completed without purchasing anything. Players can ring the adventurer bell to receive gifts from other players. does not include graphic violence, as enemies disappear after defeat instead of dying.   According to the events of Magolor Epilogue: The Interdimensional Traveler in Kirby's Return to Dream Land Deluxe, the events of Team Kirby Clash Deluxe and Super Kirby Clash take place in a parallel universe called the Dream Kingdom, where a Kirby forms a team of fellow Kirbys to defeat the raging beasts threatening the land. One of the enemies is Parallel Nightmare, the main antagonist.  "
296,Super Lone Survivor,/wiki/Lone_Survivor_(video_game),Survival horror,Superflat Games,Curve Digital,2021," Lone Survivor is a post-apocalyptic survival horror game with retro-styled 2D graphics in which the player controls a nameless protagonist following directions provided by the character's apparent hallucinations. When exploring the game world the player will discover items, keys and food. The correct use of each item and key must be determined in order to solve the game's puzzles. Certain food types can be improved by cooking and/or combining them with others. Two-way mirrors found in the game world are used to teleport back to the survivor's apartment. Players possess a flashlight with which to navigate the game world; using the flashlight drains batteries; replacements can be found by scavenging. Mutants must be avoided or killed; a pistol must be found in order to attack mutants, but ammunition is scarce. When the pistol's magazine is empty the survivor automatically loads a new magazine, leaving him open to attack during the process. Mutants are attracted to light and noises, but the player can sneak past by hiding in the shadows. The game features a map for players to navigate with, however, the game does not pause when the game's menus or map are accessed, leaving the survivor vulnerable.  The survivor's apartment serves as a hub; the player must return with food in order to survive, as well as sleep. Sleeping prevents madness and is also required to save the player's progress. It is possible to combat lack of sleep with pills; these further damage the survivor mentally but the resultant hallucination may result in extra supplies appearing in the survivor's backpack. Progression through the game requires exploration, which fills out the map; sometimes specific items must be located in order to proceed further. Failing to locate these items can result in resources being spent without new areas being opened up, making future attempts more difficult.  The player's interactions with the game's world and inhabitants result in different endings upon completion of the game. These are shown during the game's end credits, emphasizing how the player received that particular ending. A single playthrough of the game can last between three and eight hours.  "
298,Super Mario 3D World + Bowser's Fury,/wiki/Super_Mario_3D_World_%2B_Bowser%27s_Fury,Platformer,Nintendo EPD,Nintendo,"February 12, 2021"," Bowser's Fury is an open world platform game in which the player, as Mario, completes challenges to collect Cat Shines in order to free Bowser and Lake Lapcat from the control of the black sludge. Its core gameplay is similar to that of the 2013 platform game Super Mario 3D World, while also adopting elements introduced in Super Mario Odyssey.  Eurogamer noted the influence of Super Mario Sunshine on Bowser's Fury, from its scrappy approach to new concepts to its use of Bowser Jr. and debt to Shadow Mario challenges. GameSpot described the concept of Bowser's Fury as having put elements of Super Mario 3D World into the structure of Super Mario Odyssey. The player character Mario jumps between platforms and obstacles in a 3D environment. Each area of the world features a new gameplay twist. Mario collects bodysuit power ups that grant him special abilities, such as Fire Mario, Tanooki Mario and Boomerang Mario. In each area of Bowser's Fury, Mario collects Cat Shines by completing challenges less than 10 minutes in length, such as traversing platforms or collecting shard fragments of a Cat Shine. There are 100 Shines to collect in the game, and each self-contained area has five, displayed in a lighthouse. After collecting a Shine, the game reconfigures the area's environment to set up the next Shine's challenge. As the player progresses through the game, more areas open to the player. Mario rides the dinosaur Plessie to navigate between each island area of the archipelago and to reach Shine challenges throughout the lake's waters, outside the island areas. Unlike other Mario games, all areas of Bowser's Fury are openly accessible without use of a hub world—traditional Mario levels connected without loading screens or boundaries. Also unlike Super Mario 3D World, the player has full, unfixed camera control in Bowser's Fury and is not restricted to a limited number of ""lives""—instead, when Mario dies, the player loses 50 coins from their counter, which gets reset every 100 coins due to granting Mario a power-up.  Every few minutes, Bowser's fury transforms the daytime setting of Lake Lapcat into an apocalyptic nighttime setting, with fireballs raining down toward the player. The Godzilla-esque fury event can interrupt the player's activity every few minutes, but also gives new gameplay opportunities, such as generating new platforms in the sky and using the ability to bait Bowser's fiery breath to destroy otherwise indestructible obstacles. The player can end the storm by collecting a Cat Shine, activating a lighthouse to pierce the darkness. Alternatively, the player can wait out the event or, with enough Cat Shines, choose to directly confront Bowser in a kaiju-esque battle set in a reduced scale version of Lake Lapcat. After the fury, Bowser returns to the sludge and slowly begins to rise, indicating the timing of the next fury event, as the fury event does not occur on a predictable interval. Mario is joined by Bowser Jr., whom the player can direct to interact with wall markings and, optionally, can be configured to assist the player in attacking enemies and collecting coins. Alternatively, a second player can control Bowser Jr., with the same limited ability set. Bowser Jr. also stores power-ups for the player, and allow the player to swap between the item abilities as needed.  The basic game lasts about four hours for an average player, with an additional four hours of gameplay for players interested in collecting all 100 ""Cat Shines"" tokens. Visually, the game displays at a reduced framerate when played in handheld mode, with drops in frame rate during chaotic on-screen action.   While on a walk, Mario discovers a mysterious black sludge M (resembling Shadow Mario's logo from Super Mario Sunshine) in the Mushroom Kingdom. After being absorbed by it, Mario finds himself in an archipelago of cat-themed islands called Lake Lapcat that have become overrun with black sludge. Upon his arrival, Mario encounters Fury Bowser, a dark version of Bowser that has grown to colossal size. Mario collects a Cat Shine, causing Bowser to retreat. Bowser Jr. appears and pleads for Mario's help to restore his father to normal, and Mario reluctantly agrees.  The two travel across Lake Lapcat in order to obtain Cat Shines, aided by Plessie the aquatic dinosaur. After obtaining a certain number of Cat Shines, Mario gains access to the Giga Bell, a super-powered variation of the Super Bell. The Giga Bell transforms Mario into Giga Cat Mario, a colossal version of his regular cat form, allowing him to battle Fury Bowser.  After using the Giga Bells to fight Fury Bowser several times, Bowser is drained of the sludge which transformed him. Despite this, he remains colossal and out of control, and steals the three Giga Bells. Mario manages to retake the Giga Bells, using all three to turn Plessie into a giant and crush Bowser. Bowser is returned to his normal size, and Bowser Jr. breaks off his alliance with Mario as the two retreat. Mario and the cats of Lake Lapcat celebrate atop the still-giant Plessie. A series of paintings by Bowser Jr. shown during the credits explain that he was responsible for accidentally creating Fury Bowser, having painted Bowser's face with his magic paintbrush while he was sleeping as a prank.  "
299,Super Mario Bros. 35,/wiki/Super_Mario_Bros._35,Battle royale,Arika,Nintendo,"October 1, 2020"," Super Mario Bros. 35 combined run-and-jump platforming with battle royale elements. Thirty-five players each controlled the protagonist Mario, with Luigi being unlockable as a playable character through an easter egg, and simultaneously traversed through the original set of thirty-two two-dimensional levels from Super Mario Bros. These courses contained items, such as coins and power-ups, and enemies that were to be defeated. A player won once all other players were defeated.  Different enemies appeared in certain levels, with different ways of defeating them. Goombas were the most common enemies. Most enemies could be defeated by jumping onto them. Other enemies would drop a projectile when stomped on, such as the Koopa Troopa, which dropped a shell that could be kicked left or right and would ricochet when it comes in contact with an object. Bowser appeared as a boss in the fourth stage of each world. Enemies defeated by the player were sent to other opponents in real-time, appearing in their levels as an additional hindrance. Players could either manually target their opponents or choose from four types of opponents to attack: players who collected the most coins, players who had the least amount of time remaining, players who attacked the player themselves, or random players. Each player would be assigned a timer that started at 35 seconds. They were awarded additional seconds by eliminating enemies, and doing so in rapid succession yielded higher rewards. Letting the timer run out caused the player to lose.  Players could earn a bounty of coins if they knocked out any opponents during a match. If a player collected 20 coins, they would have the option to spend them to spin the ""item roulette"". This provided the player with one of four items: Super Mushrooms, a mushroom that made Mario larger, gave him the ability to destroy bricks, and gave him an additional hitpoint; Fire Flowers, which gave Mario the ability to shoot bouncing fireballs at enemies; Starmen, which made Mario invincible to enemies for a brief period of time; and POW Blocks, which cleared all enemies on the screen.  At the start of each game, each player could vote for which level to start on. All of the selected levels would be placed in a queue, along with some randomly-chosen levels. Beyond the first level, each player could only vote for levels they had completed. In this pre-game screen, players could also choose to spend 50 coins to start with a power-up of their choice. In limited-time ""Special Battle"" events, players could compete in a fixed list of courses and conditions that had a different theme every week. These conditions included starting with coins, a power-up, or more time on the in-game timer.  The game also featured a variety of player icons that could be unlocked by meeting various requirements, as well as daily challenges such as placing fifth or better three games in a row.  "
300,Super Mario Maker 2,/wiki/Super_Mario_Maker_2,Platformer,Nintendo EPD,Nintendo,"June 28, 2019"," Like its predecessor, Super Mario Maker 2 is a side-scrolling platform game in which players create their own courses using assets from across the Super Mario series and publish them onto the internet for others to play. Players can choose from a selection of prior Super Mario games to base their courses' visual style and gameplay on, including Super Mario Bros., Super Mario Bros. 3, Super Mario World, New Super Mario Bros. U, and the newly introduced Super Mario 3D World theme, which has been retooled to 2.5D to fit with the game's platforming style. mechanics and enemy behaviors can vary between the styles, with some elements being limited to specific styles.  The sequel adds various assets and tools, including assets and a course theme based on Super Mario 3D World. This theme is especially different from the four others, with many features and gameplay mechanics unique to it. Due to the difference from this style to the others, the course has to be reset in order to switch to this style. This sequel also brings along the new vertical course feature giving creators the ability to raise the vertical height limit. It also introduces local and online multiplayer modes including co-op course creation, where up to 2 players can locally create stages together at the same time; as well as allowing up to 4 online players to complete user-made courses, cooperatively or competitively.  The game also features a World Maker mode, where players create their own overworld maps, creating the equivalent of their own Super Mario game, called a Super World. The world style is locked as Super Mario World, but the courses themselves can be any style. Up to six Super Worlds can be saved but only one can be uploaded. One world can have up to five levels, including a castle, and a single Super World can have up to eight separate worlds. A world can also feature Toad houses, where the player plays minigames for extra lives, and Warp Pipes to get around the world quickly.  Super Mario Maker 2 also features a new single player campaign known as Story Mode. The story follows Mario, Toadette, and several other Toads helping to rebuild Princess Peach's Castle, which had accidentally been reset by Undodog, a non-playable character. Players must traverse through over 100 Nintendo-created courses in order to collect enough coins to rebuild the castle. Non-player characters also offer players extra tasks and jobs throughout the mode.  A Nintendo Switch Online subscription is required in order to access any online functionality in the game, including accessing player-created levels.  "
301,Super Mario Odyssey,/wiki/Super_Mario_Odyssey,Platformer,Nintendo EPD,Nintendo,"October 27, 2017"," Super Mario Odyssey is a platform game in which players control Mario as he travels across many different worlds, known as ""Kingdoms"" within the game, on the hat-shaped ship Odyssey, to rescue Princess Peach from Bowser, who plans to forcibly marry her. The Kingdoms in the game return to the exploration-based level design featured in Super Mario 64. Each Kingdom has Mario searching for and clearing various objectives in order to obtain items known as Power Moons, which are the power source of the Odyssey and grant access to new Kingdoms. Checkpoint flags littered throughout each Kingdom allow Mario to instantly warp to them once activated. Certain levels feature areas called ""flat"" zones, where Mario is placed in a 2D side-scrolling environment similar to his appearance in the original Super Mario Bros.  In addition to his pre-existing moves, like triple-jumping and wall-jumping, Mario can throw his cap, the physical form of a hat spirit named Cappy, in multiple directions to attack enemies and use as a temporary platform. When the cap is thrown at certain objects, enemies, or non-playable characters, Mario is able to take possession of them, referred to as ""capturing"", allowing him to use unique abilities. For example, Mario can capture a Bullet Bill to fly across large gaps, a Tyrannosaurus to trample things, a bolt of electricity called a Spark Pylon to climb up electric wires, and a tank called a Sherm to fire at enemies and break blocks for passage. Some actions can be accelerated by using motion controls in the Joy-Con controllers, but the game is otherwise fully playable with the Joy-Con attached to the console. Throughout the game, Mario can pick up coins,  which come in two types; regular coins and purple ones unique to each kingdom, to spend on items such as new hats and outfits, some of which are required for completing certain objectives. The game uses a health system similar to the Super Mario Galaxy games, although Mario has unlimited lives; the only penalty for dying is paying up to ten coins. The player can also collect items known as 'Life-Up Hearts' which grant three extra hit points. The game also features cooperative play, in which a second player takes control of Cappy and can attack enemies independently of Mario.  The game requires a minimum number of Power Moons to be collected from each Kingdom to move onto the next, though these may be obtained from any source, making major objectives largely optional. Once Bowser is defeated, each kingdom is repopulated with more Power Moons. Collecting enough Power Moons allows for additional outfits to be purchased and unlocks two bonus areas. One of these areas is a boss rush called Dark Side, with 250 Power Moons required to enter. The other is a level called Darker Side that combines many elements of the game, and requires 500 Power Moons to enter. In addition to this, there is also a level based on Peach's Castle from Super Mario 64 unlocked by beating the game. This level allows Mario to face harder versions of previously defeated bosses and earn additional Power Moons by completing in-game achievements.  The game features a photo mode that allows players to use a free-moving camera to take and save screenshots, with additional options such as filters and stickers. Use of the Odyssey-themed Mario, Peach, and Bowser Amiibo figurines allow for special in-game abilities and unlocking special costumes which are otherwise unavailable until after the player completes the game and collects enough Power Moons. Other Amiibo can be scanned to provide hints to finding Power Moons.  A hide-and-seek minigame, called ""Luigi's Balloon World"", was released as part of an update on February 21, 2018. In it, players have 30 seconds to hide a balloon somewhere in a kingdom, which is then able to be played by others attempting to find it. A leaderboard system ranks the players who have found the most balloons.  The game was updated in 2019 to be compatible with the Nintendo Labo virtual reality kit. In this mode, Mario must complete challenges in a number of Kingdoms to recruit musicians and give them instruments by completing tasks related to musical notes.   Bowser kidnaps Princess Peach from the Mushroom Kingdom and takes her aboard his airship, intent on forcibly marrying her. Mario, also aboard, attempts to rescue her but is knocked off the ship by Bowser's hat after a brief fight and falls into the neighboring Cap Kingdom. With Mario gone, Bowser stomps on Mario's cap and lets it drift into the ship's rear propellers, shredding it to pieces. A piece of the hat is grabbed by Cappy, one of the Cap Kingdom's sentient hat-like creatures called Bonneters. The two meet, and he explains to Mario that Bowser also kidnapped his sister, Tiara, to be used as Peach's wedding tiara. Cappy joins Mario and takes the shape of Mario's cap, providing him with the ability to throw his cap and temporarily capture other creatures and objects and utilize their abilities. They travel to the nearby Cascade Kingdom, recover an airship called the Odyssey, and begin hunting Bowser down.  Mario and Cappy explore the various kingdoms to collect Power Moons to fuel the Odyssey and battle the Broodals—a team of anthrophomorphic rabbit wedding planners hired by Bowser—who steal items including a dress, a cake, and a bouquet from each kingdom to set up Bowser's wedding. Eventually, they catch up to Bowser in his own kingdom; however, Bowser subsequently departs for his wedding on the Moon and leaves the two to fight the Broodals in their Mecha-Broodal. They defeat them and follow Bowser to the Moon.  Mario and Cappy fly the Odyssey to the Moon's surface and confront Bowser inside a cathedral. The two battle in the Moon's interior, where Bowser is defeated and Mario frees Peach and Tiara, but the cavern begins to collapse. Using Cappy, Mario takes control of an unconscious Bowser and escapes to the surface with Peach and Tiara. Back on the surface, Mario prepares to propose to Peach, but Bowser regains consciousness and proposes as well. The two fight over her hand in marriage before an overwhelmed Peach demands they stop, and she boards the Odyssey with Cappy and Tiara. The rivals are both heartbroken until Peach tells Mario to come home with her. Mario boards the ship just in time, leaving Bowser stranded on the moon.  In the post-game, Mario and Cappy collect more Power Moons that were released from Moon rocks to traverse other parts of the Moon, known as ""Dark Side"" and ""Darker Side"", to complete other challenges. Meanwhile, Peach and Tiara travel the world on their own terms, and meet up with Mario along the way.  "
